x index;y index;crate;board;order;MEZ CH#;FEE CH#;PHY;Count;Holder;CableType;FEE-LEFT;;;;FEE-RIGHT;;;;
7;18;2;3;18;5;3;1;338;H0658;;0;5;3;;9;5;3;;
8;18;2;3;15;4;4;1;339;H0554;;0;4;4;;9;4;4;;
9;18;2;3;12;3;5;1;340;H0639;;0;3;5;;9;3;5;;
10;18;2;3;9;3;2;1;341;H0618;13;0;3;2;;9;3;2;;
11;18;2;3;6;2;3;1;342;H0557;;0;2;3;;9;2;3;;
12;18;2;3;4;1;5;1;343;H0664;;0;1;5;;9;1;5;;
13;18;2;3;2;1;3;1;344;H0281;;0;1;3;;9;1;3;;
0;19;2;2;20;5;5;0;315;H0394;;0;5;5;;9;5;5;;
1;19;2;2;16;4;5;0;316;H0353;;0;4;5;;9;4;5;;
2;19;2;2;15;4;4;0;317;H0316;;0;4;4;;9;4;4;;
3;19;2;3;13;4;2;0;318;H0319;8;0;4;2;;9;4;2;;
4;19;2;3;10;3;3;0;319;H0377;;0;3;3;;9;3;3;;
5;19;2;3;7;2;4;0;320;H0438;;0;2;4;;9;2;4;;
6;19;2;3;4;1;5;0;321;H0381;;0;1;5;;9;1;5;;
7;19;2;3;1;1;2;0;322;H0386;13;0;1;2;;9;1;2;;
8;19;2;3;19;5;4;1;323;H0257;;0;5;4;;9;5;4;;
